Datetime,Open,Close,High,Low,Volume,Gain%
2002-06-30 22:00:00,20.42,19.49,25.14,18.25,189507200,-4.554358472086205
2002-07-31 22:00:00,19.3,17.25,22.67,16.12,157377200,-10.62176165803109
2002-08-31 22:00:00,17.0,12.37,19.75,12.1,161514300,-27.23529411764706
2002-09-30 22:00:00,12.7,16.0,18.0,11.36,221021600,25.984251968503948
2002-10-31 22:00:00,16.1,15.81,17.98,12.57,207338800,-1.8012422360248501
2002-11-30 22:00:00,16.5,9.74,16.7,9.5,217497400,-40.96969696969697
2002-12-31 22:00:00,9.75,8.21,11.1,7.67,228545200,-15.794871794871787
2003-01-31 22:00:00,8.21,7.99,8.49,6.6,165019300,-2.6796589524969625
2003-02-28 22:00:00,8.01,8.14,9.1,7.26,204684700,1.6229712858926442
2003-03-31 22:00:00,8.18,8.5,9.65,8.0,150864200,3.911980440097803
2003-04-30 22:00:00,8.49,11.32,11.6,8.15,230226600,33.33333333333333
2003-05-31 22:00:00,11.61,11.75,13.9,10.36,245772300,1.205857019810513
2003-06-30 22:00:00,11.58,14.64,15.66,11.32,267028800,26.42487046632125
2003-07-31 22:00:00,14.8,14.36,15.31,12.34,235361400,-2.9729729729729817
2003-08-31 22:00:00,14.5,13.42,15.25,12.95,307122900,-7.448275862068966
2003-09-30 22:00:00,13.42,14.34,15.1,12.23,338744500,6.855439642324888
2003-10-31 22:00:00,14.55,13.01,14.86,12.43,187136300,-10.584192439862548
2003-11-30 22:00:00,13.2,13.47,14.0,11.28,244007800,2.0454545454545556
2003-12-31 22:00:00,13.72,16.11,17.08,13.64,250786200,17.41982507288629
2004-01-31 22:00:00,16.36,15.04,16.87,14.81,169199400,-8.068459657701714
2004-02-29 22:00:00,15.18,16.71,17.04,14.24,243398100,10.079051383399216
2004-03-31 22:00:00,16.71,13.62,18.25,13.42,257658800,-18.491921005386004
2004-04-30 22:00:00,13.71,15.03,15.2,13.18,177630800,9.628008752735218
2004-05-31 22:00:00,14.91,15.31,15.39,13.3,189709500,2.68276324614353
2004-06-30 22:00:00,15.3,13.53,15.3,12.56,161526500,-11.5686274509804
2004-07-31 22:00:00,13.49,11.51,13.49,10.89,172046800,-14.67753891771683
