Datetime,Open,Close,High,Low,Volume,Gain%
2002-06-30 22:00:00,13.895,14.09,14.955,12.05,20032000,1.4033825116948564
2002-07-31 22:00:00,14.095,14.89,15.505,12.71,16105200,5.640297978006385
2002-08-31 22:00:00,14.875,14.31,16.235,14.075,11881800,-3.7983193277310887
2002-09-30 22:00:00,14.25,13.635,15.695,12.64,20224400,-4.3157894736842115
2002-10-31 22:00:00,13.6,13.88,14.415,12.31,19611200,2.058823529411773
2002-11-30 22:00:00,13.925,12.645,14.185,12.135,16177200,-9.192100538599648
2002-12-31 22:00:00,12.65,12.215,13.025,11.875,9933000,-3.4387351778656163
2003-01-31 22:00:00,12.17,12.765,12.965,11.455,12896800,4.889071487263768
2003-02-28 22:00:00,12.8,13.535,13.93,11.995,16478200,5.742187499999996
2003-03-31 22:00:00,13.525,14.81,15.0,13.38,12736200,9.500924214417745
2003-04-30 22:00:00,14.845,15.255,15.685,14.385,10247200,2.7618726844055246
2003-05-31 22:00:00,15.28,16.735,17.695,15.25,11397200,9.522251308900524
2003-06-30 22:00:00,16.675,19.08,19.75,16.615,11716400,14.422788605697137
2003-07-31 22:00:00,18.995,19.175,19.175,17.165,11978000,0.9476177941563554
2003-08-31 22:00:00,19.25,18.4,19.98,18.38,21799800,-4.415584415584424
2003-09-30 22:00:00,18.42,21.73,22.45,18.27,13128000,17.969598262757863
2003-10-31 22:00:00,21.745,21.76,21.85,20.135,8778400,0.06898137502874485
2003-11-30 22:00:00,21.7,19.28,21.9,18.985,14499800,-11.152073732718886
2003-12-31 22:00:00,19.325,19.235,19.84,18.23,12216400,-0.4657179818887444
2004-01-31 22:00:00,19.14,20.315,20.845,18.625,11640000,6.138975966562176
2004-02-29 22:00:00,20.325,20.02,20.45,18.66,15138200,-1.50061500615006
2004-03-31 22:00:00,19.94,22.45,23.345,19.59,15489000,12.587763289869597
2004-04-30 22:00:00,22.35,22.46,22.555,20.575,14146200,0.4921700223713621
2004-05-31 22:00:00,22.495,22.6,23.535,21.73,12162400,0.46677039342076204
2004-06-30 22:00:00,22.675,20.245,22.675,19.475,15873600,-10.716648291069458
2004-07-31 22:00:00,20.275,19.705,20.33,18.03,19883400,-2.8113440197287316
2004-08-31 22:00:00,19.71,19.145,20.795,18.885,16907000,-2.866565195332325
2004-09-30 22:00:00,19.11,21.53,21.6,18.5,18957400,12.663526949241245
2004-10-31 22:00:00,21.39,21.77,22.82,21.39,13804800,1.7765310892940578
2004-11-30 22:00:00,21.67,22.525,22.665,21.35,11395600,3.9455468389478394
2004-12-31 22:00:00,22.61,22.865,23.5,21.975,11399000,1.127819548872176
2005-01-31 22:00:00,23.125,25.45,25.475,22.715,13281600,10.05405405405405
2005-02-28 22:00:00,25.395,24.765,26.215,24.195,11001000,-2.4808033077377396
2005-03-31 22:00:00,24.86,25.66,26.24,23.205,13515600,3.218020917135964
2005-04-30 22:00:00,25.49,27.78,28.8,25.445,15053600,8.983915260886635
2005-05-31 22:00:00,27.885,29.83,30.5,27.75,11722700,6.975076205845425
2005-06-30 22:00:00,29.67,32.26,32.53,29.04,9701700,8.729356252106491
2005-07-31 22:00:00,32.47,27.57,32.47,27.27,10116400,-15.090853095164764
2005-08-31 22:00:00,27.44,28.18,29.98,26.54,11435700,2.696793002915446
2005-09-30 22:00:00,28.39,28.2,29.14,25.75,12361600,-0.6692497358224773
2005-10-31 22:00:00,28.09,30.45,31.16,28.0,7884900,8.401566393734424
2005-11-30 22:00:00,30.73,32.01,32.52,30.47,7260900,4.165310771233314
2005-12-31 22:00:00,32.25,32.82,32.95,30.87,6808200,1.767441860465117
2006-01-31 22:00:00,32.73,32.72,34.61,32.08,5817600,-0.03055300947142686
2006-02-28 22:00:00,35.04,36.56,38.3,35.0,11758300,4.337899543379004
2006-03-31 22:00:00,36.82,33.88,36.99,32.42,8135800,-7.984790874524708
2006-04-30 22:00:00,34.02,31.69,34.34,31.11,9101000,-6.848912404467964
2006-05-31 22:00:00,31.58,31.19,33.32,29.3,15014000,-1.2349588347055005
2006-06-30 22:00:00,31.12,28.35,31.61,27.49,18833659,-8.901028277634959
2006-07-31 22:00:00,28.2,29.69,30.0,27.67,9661178,5.283687943262418
2006-08-31 22:00:00,29.7,33.21,34.24,29.29,10567338,11.818181818181824
2006-09-30 22:00:00,33.27,32.29,35.1,30.92,14882755,-2.945596633603859
2006-10-31 22:00:00,32.49,31.67,33.45,31.14,7846484,-2.52385349338258
2006-11-30 22:00:00,31.64,32.06,32.64,31.21,11065998,1.3274336283185895
2006-12-31 22:00:00,32.18,34.91,35.0,31.45,12660087,8.48353014294592
2007-01-31 22:00:00,35.01,34.43,35.72,32.8,11315140,-1.6566695229934254
2007-02-28 22:00:00,33.96,33.1,34.35,31.51,12965794,-2.5323910482921064
2007-03-31 22:00:00,33.25,35.6,38.84,32.58,16709772,7.0676691729323355
2007-04-30 22:00:00,35.7,37.99,38.29,35.0,16311253,6.414565826330529
2007-05-31 22:00:00,38.11,36.55,38.28,35.64,13297539,-4.093413802151672
2007-06-30 22:00:00,36.66,33.31,37.25,32.01,23968866,-9.138025095471889
2007-07-31 22:00:00,33.42,35.54,38.2,31.44,20998869,6.3435068821065155
2007-08-31 22:00:00,35.54,33.41,36.6,33.25,8309766,-5.99324704558245
2007-09-30 22:00:00,33.37,33.02,34.72,32.16,15679964,-1.0488462691039686
2007-10-31 22:00:00,32.75,32.86,33.29,30.5,11856432,0.33587786259541813
2007-11-30 22:00:00,33.02,32.43,34.69,30.43,13183777,-1.7867958812840805
2007-12-31 22:00:00,32.28,29.43,32.68,24.08,42491282,-8.828996282527884
2008-01-31 22:00:00,30.0,26.96,31.77,26.74,21446255,-10.133333333333331
2008-02-29 22:00:00,26.96,28.52,30.446,25.42,17592050,5.786350148367948
