Datetime,Open,Close,High,Low,Volume,Gain%,Ticker,future,Mov_Ticker,Inflation,Unemployment,Industrial,Interest,Retail_Sales,Interest_pct,Inflation_pct,Unemployment_pct,Industrial_pct,Volume_pct,Retail_Sales_pct,R/G
2002-07-31 22:00:00,0.269821425,0.26339285,0.290178575,0.249464275,5151686400,-2.3825294822306984,AAPL,0.0690144927536286,AAPL,2.2,5.8,90.8761,1.73,262769,-0.011428571428571455,-0.04347826086956508,0.0,-0.00034870495161032355,-0.3654320119030128,0.01148252792683202,1
2002-08-31 22:00:00,0.25875,0.258928575,0.27125,0.25089285,5291837600,0.0690144927536286,AAPL,10.143925559536989,AAPL,2.4,5.7,90.785,1.74,265043,0.005780346820809301,0.09090909090909083,-0.01724137931034475,-0.0010024637941108416,0.027204916821023994,0.008653988864744333,1
2002-09-30 22:00:00,0.260535725,0.286964275,0.293571425,0.238571425,6611432800,10.143925559536989,AAPL,-2.7603451131830714,AAPL,2.2,5.7,90.8931,1.75,260626,0.005747126436781658,-0.08333333333333326,0.0,0.0011907253400893492,0.24936426620499463,-0.0166652203604698,0
2002-10-31 22:00:00,0.28464285,0.276785725,0.31035715,0.268035725,4531721600,-2.7603451131830714,AAPL,-9.874217485858903,AAPL,2.2,5.7,88.6706,1.73,256307,-0.011428571428571455,0.0,0.0,-0.024451801071808665,-0.3145628584472643,-0.0165716390536631,0
2002-11-30 22:00:00,0.283928575,0.25589285,0.2875,0.246071425,4530439200,-9.874217485858903,AAPL,0.0,AAPL,2.0,5.9,88.6706,1.73,256307,0.0,-0.09090909090909094,0.03508771929824572,0.0,-0.00028298296170714554,0.0,0
2002-12-31 22:00:00,0.256428575,0.256428575,0.27464285,0.24214285,6045832800,0.0,AAPL,4.1637807656319366,AAPL,1.9,6.0,88.6706,1.73,256307,0.0,-0.050000000000000044,0.016949152542372836,0.0,0.3344915433364606,0.0,1
2003-01-31 22:00:00,0.257321425,0.268035725,0.273214275,0.246428575,4114303200,4.1637807656319366,AAPL,-5.796139675037721,AAPL,1.9,5.8,91.3852,1.24,267230,-0.2832369942196532,0.0,-0.033333333333333326,0.030614431389885732,-0.31948114741115563,0.04261686181025093,0
2003-02-28 22:00:00,0.268035725,0.2525,0.270714275,0.250714275,4028404800,-5.796139675037721,AAPL,0.140847889307706,AAPL,1.7,5.9,91.494,1.26,263188,0.016129032258064502,-0.10526315789473684,0.017241379310344973,0.001190564774164793,-0.020877994601856242,-0.015125547281368057,1
2003-03-31 22:00:00,0.253571425,0.253928575,0.266964275,0.22714285,7775342400,0.140847889307706,AAPL,25.96492179501424,AAPL,1.7,5.9,91.221,1.25,267820,-0.007936507936507908,0.0,0.0,-0.0029838022165387112,0.9301293653507712,0.017599586607292217,1
2003-04-30 22:00:00,0.254464275,0.320535725,0.339464275,0.25,10811544800,25.96492179501424,AAPL,5.303873103995794,AAPL,1.5,6.0,90.6448,1.26,267197,0.008000000000000007,-0.11764705882352944,0.016949152542372836,-0.006316527992457854,0.39049115058907247,-0.002326189231573461,1
2003-05-31 22:00:00,0.323214275,0.34035715,0.35160715,0.296964275,6113335200,5.303873103995794,AAPL,11.711716323636985,AAPL,1.6,6.1,90.6163,1.26,267362,0.0,0.06666666666666665,0.016666666666666607,-0.0003144140645685578,-0.43455488433068323,0.0006175219033148771,1
2003-06-30 22:00:00,0.336964275,0.376428575,0.385178575,0.330535725,5218270400,11.711716323636985,AAPL,7.666666666666666,AAPL,1.5,6.3,90.7372,1.22,270396,-0.031746031746031744,-0.0625,0.032786885245901676,0.0013341970484339605,-0.14641186369103398,0.011347910323830535,1
