DATE,INDPRO,Month,Year
2013-12-01,100.3658,12,2013
2014-01-01,100.038,1,2014
2014-02-01,100.7918,2,2014
2014-03-01,101.7782,3,2014
2014-04-01,101.8337,4,2014
2014-05-01,102.2325,5,2014
2014-06-01,102.5722,6,2014
2014-07-01,102.8479,7,2014
2014-08-01,102.6491,8,2014
2014-09-01,102.9858,9,2014
2014-10-01,102.9911,10,2014
2014-11-01,103.6669,11,2014
2014-12-01,103.6139,12,2014
2015-01-01,102.8479,1,2015
2015-02-01,102.2292,2,2015
2015-03-01,101.8945,3,2015
2015-04-01,101.2859,4,2015
2015-05-01,100.8408,5,2015
2015-06-01,100.5063,6,2015
2015-07-01,101.1831,7,2015
2015-08-01,100.9115,8,2015
2015-09-01,100.568,9,2015
2015-10-01,100.1588,10,2015
2015-11-01,99.4099,11,2015
2015-12-01,98.8329,12,2015
2016-01-01,99.4797,1,2016
2016-02-01,98.9583,2,2016
2016-03-01,98.1954,3,2016
2016-04-01,98.4673,4,2016
2016-05-01,98.2889,5,2016
2016-06-01,98.7201,6,2016
2016-07-01,98.8992,7,2016
2016-08-01,98.7249,8,2016
2016-09-01,98.606,9,2016
2016-10-01,98.6703,10,2016
2016-11-01,98.2288,11,2016
2016-12-01,98.8958,12,2016
2017-01-01,98.7446,1,2017
2017-02-01,98.3676,2,2017
2017-03-01,99.1065,3,2017
2017-04-01,100.0363,4,2017
2017-05-01,100.147,5,2017
2017-06-01,100.3042,6,2017
2017-07-01,100.2092,7,2017
2017-08-01,99.7055,8,2017
2017-09-01,99.7485,9,2017
2017-10-01,100.988,10,2017
2017-11-01,101.273,11,2017
2017-12-01,101.3696,12,2017
2018-01-01,101.3561,1,2018
2018-02-01,101.6495,2,2018
2018-03-01,102.298,3,2018
2018-04-01,103.4095,4,2018
2018-05-01,102.5408,5,2018
2018-06-01,103.3045,6,2018
2018-07-01,103.5474,7,2018
2018-08-01,104.1659,8,2018
2018-09-01,104.1315,9,2018
2018-10-01,103.9874,10,2018
2018-11-01,103.9127,11,2018
2018-12-01,103.867,12,2018
2019-01-01,103.3023,1,2019
2019-02-01,102.728,2,2019
2019-03-01,102.8635,3,2019
2019-04-01,102.2543,4,2019
2019-05-01,102.4519,5,2019
2019-06-01,102.384,6,2019
2019-07-01,102.0568,7,2019
2019-08-01,102.6882,8,2019
2019-09-01,102.3143,9,2019
2019-10-01,101.4645,10,2019
2019-11-01,101.9876,11,2019
2019-12-01,101.6179,12,2019
2020-01-01,101.0918,1,2020
2020-02-01,101.3247,2,2020
2020-03-01,97.4477,3,2020
2020-04-01,84.2018,4,2020
