DATE,RSXFS,Year,Month
2009-11-01,306675,2009,11
2009-12-01,308413,2009,12
2010-01-01,308343,2010,1
2010-02-01,308568,2010,2
2010-03-01,315984,2010,3
2010-04-01,318803,2010,4
2010-05-01,315560,2010,5
2010-06-01,314889,2010,6
2010-07-01,315811,2010,7
2010-08-01,317208,2010,8
2010-09-01,320261,2010,9
2010-10-01,324098,2010,10
2010-11-01,327488,2010,11
2010-12-01,329760,2010,12
2011-01-01,332282,2011,1
2011-02-01,334682,2011,2
2011-03-01,338001,2011,3
2011-04-01,339713,2011,4
2011-05-01,339169,2011,5
2011-06-01,341787,2011,6
2011-07-01,341438,2011,7
2011-08-01,342121,2011,8
2011-09-01,345745,2011,9
2011-10-01,347942,2011,10
2011-11-01,349156,2011,11
2011-12-01,349721,2011,12
2012-01-01,352736,2012,1
2012-02-01,357435,2012,2
2012-03-01,358712,2012,3
2012-04-01,356872,2012,4
2012-05-01,356054,2012,5
2012-06-01,352011,2012,6
2012-07-01,353974,2012,7
2012-08-01,358575,2012,8
2012-09-01,361370,2012,9
2012-10-01,361864,2012,10
2012-11-01,362866,2012,11
2012-12-01,364443,2012,12
2013-01-01,367277,2013,1
2013-02-01,372515,2013,2
2013-03-01,369062,2013,3
2013-04-01,367290,2013,4
2013-05-01,369648,2013,5
2013-06-01,370847,2013,6
2013-07-01,373447,2013,7
2013-08-01,372419,2013,8
2013-09-01,372515,2013,9
2013-10-01,373492,2013,10
2013-11-01,373940,2013,11
2013-12-01,376621,2013,12
2014-01-01,373327,2014,1
2014-02-01,378580,2014,2
2014-03-01,382404,2014,3
2014-04-01,386507,2014,4
2014-05-01,386929,2014,5
2014-06-01,387863,2014,6
2014-07-01,388261,2014,7
2014-08-01,391217,2014,8
2014-09-01,389680,2014,9
2014-10-01,390597,2014,10
2014-11-01,391592,2014,11
2014-12-01,388223,2014,12
2015-01-01,385558,2015,1
2015-02-01,385104,2015,2
2015-03-01,391056,2015,3
2015-04-01,391375,2015,4
2015-05-01,394332,2015,5
2015-06-01,394859,2015,6
2015-07-01,398128,2015,7
2015-08-01,397710,2015,8
2015-09-01,396112,2015,9
2015-10-01,394425,2015,10
2015-11-01,396141,2015,11
2015-12-01,397244,2015,12
2016-01-01,394576,2016,1
2016-02-01,398149,2016,2
2016-03-01,396959,2016,3
2016-04-01,398099,2016,4
2016-05-01,399909,2016,5
2016-06-01,404677,2016,6
2016-07-01,403648,2016,7
2016-08-01,403861,2016,8
2016-09-01,406384,2016,9
2016-10-01,407253,2016,10
2016-11-01,405872,2016,11
2016-12-01,413211,2016,12
2017-01-01,416024,2017,1
2017-02-01,416011,2017,2
2017-03-01,414942,2017,3
2017-04-01,416702,2017,4
2017-05-01,414274,2017,5
