Datetime,Open,Close,High,Low,Volume
2021-03-16 22:00:00,394.53,397.26,398.12,393.3,97959265
2021-03-17 22:00:00,394.475,391.48,396.72,390.75,115349101
2021-03-18 22:00:00,389.88,389.48,391.569,387.15,113624490
2021-03-21 22:00:00,390.03,392.59,394.07,389.97,73778646
2021-03-22 22:00:00,391.91,389.5,393.46,388.66,90686552
2021-03-23 22:00:00,391.0,387.52,392.75,387.47,97588644
2021-03-24 22:00:00,385.98,389.7,390.55,383.9,116128622
2021-03-25 22:00:00,390.93,395.98,396.41,390.29,114409114
2021-03-28 22:00:00,394.4,395.78,396.75,392.81,108107626
2021-03-29 22:00:00,394.42,394.73,395.45,393.02,76262249
2021-03-30 22:00:00,395.34,396.33,398.0,395.31,112734214
2021-03-31 22:00:00,398.4,400.61,400.67,398.18,99682876
2021-04-04 22:00:00,403.46,406.36,406.94,403.38,91684764
2021-04-05 22:00:00,405.76,406.12,407.24,405.4,62020953
2021-04-06 22:00:00,405.94,406.59,406.96,405.45,55836280
2021-04-07 22:00:00,407.93,408.52,408.58,406.93,57863114
2021-04-08 22:00:00,408.39,411.49,411.67,408.26,61104559
2021-04-11 22:00:00,410.85,411.64,411.93,410.2,56704899
2021-04-12 22:00:00,411.53,412.86,413.529,411.12,56550988
2021-04-13 22:00:00,412.83,411.45,413.96,410.87,61659907
2021-04-14 22:00:00,413.74,415.87,416.16,413.69,60229842
2021-04-15 22:00:00,417.25,417.26,417.91,415.73,82037278
2021-04-18 22:00:00,416.26,415.21,416.74,413.79,78498496
2021-04-19 22:00:00,413.91,412.17,415.0859,410.59,81851828
2021-04-20 22:00:00,411.51,416.07,416.29,411.36,66792983
2021-04-21 22:00:00,415.89,412.27,416.78,411.13,97582788
2021-04-22 22:00:00,412.87,416.74,418.25,412.79,73276195
2021-04-25 22:00:00,417.44,417.61,418.22,416.8111,52182392
2021-04-26 22:00:00,417.93,417.52,418.14,416.3,51303056
2021-04-27 22:00:00,417.81,417.4,419.01,416.9,51238854
2021-04-28 22:00:00,420.32,420.06,420.72,416.44,78544329
2021-04-29 22:00:00,417.63,417.3,418.54,416.34,85527030
2021-05-02 22:00:00,419.43,418.2,419.84,417.665,68128289
2021-05-03 22:00:00,416.07,415.62,416.6,411.67,101591166
2021-05-04 22:00:00,417.38,415.75,417.63,414.94,39960661
2021-05-05 22:00:00,415.83,419.07,419.21,413.675,74321368
2021-05-06 22:00:00,419.89,422.12,422.815,419.16,67733790
2021-05-09 22:00:00,422.5,417.94,422.74,417.81,81852446
2021-05-10 22:00:00,413.1,414.21,415.27,410.06,116887975
2021-05-11 22:00:00,411.23,405.41,412.59,404.0,134811046
2021-05-12 22:00:00,407.07,410.28,412.35,407.02,106393963
2021-05-13 22:00:00,413.21,416.58,417.49,413.18,82201629
2021-05-16 22:00:00,415.39,415.52,416.39,413.36,65129221
2021-05-17 22:00:00,415.8,411.94,416.06,411.77,59810238
2021-05-18 22:00:00,406.92,410.86,411.05,405.33,106467052
2021-05-19 22:00:00,411.8,415.28,416.625,411.67,78022218
2021-05-20 22:00:00,416.87,414.94,418.2,414.45,76578662
2021-05-23 22:00:00,417.34,419.17,420.32,417.08,51376702
2021-05-24 22:00:00,420.33,418.24,420.71,417.62,57451396
2021-05-25 22:00:00,418.87,419.07,419.61,417.76,43088618
2021-05-26 22:00:00,420.17,419.29,420.72,418.9851,56707677
2021-05-27 22:00:00,420.97,420.04,421.25,419.79,58520164
2021-05-31 22:00:00,422.57,419.67,422.72,419.2,54216625
2021-06-01 22:00:00,420.37,420.33,421.23,419.29,49097061
2021-06-02 22:00:00,417.85,418.77,419.99,416.28,58138763
2021-06-03 22:00:00,420.75,422.6,422.92,418.8422,55938789
2021-06-06 22:00:00,422.59,422.19,422.78,421.19,51555032
2021-06-07 22:00:00,423.11,422.28,423.21,420.32,47134279
2021-06-08 22:00:00,423.18,421.65,423.26,421.41,48436342
2021-06-09 22:00:00,422.96,423.61,424.63,421.55,51020147
2021-06-10 22:00:00,424.2,424.31,424.43,422.82,45570828
2021-06-13 22:00:00,424.43,425.26,425.37,423.1,42358478
2021-06-14 22:00:00,425.42,424.48,425.46,423.54,51508508
2021-06-15 22:00:00,424.63,422.11,424.87,419.92,80386082
2021-06-16 22:00:00,421.67,421.97,423.02,419.32,90949659
2021-06-17 22:00:00,417.09,414.92,417.8281,414.7,118676302
2021-06-20 22:00:00,416.8,420.86,421.06,415.93,72822028
2021-06-21 22:00:00,420.85,423.11,424.0,420.08,57700303
2021-06-22 22:00:00,423.19,422.6,424.05,422.51,49445414
2021-06-23 22:00:00,424.89,425.1,425.55,424.62,45110288
2021-06-24 22:00:00,425.9,426.61,427.0943,425.55,58129525
2021-06-27 22:00:00,427.17,427.47,427.65,425.89,53159581
2021-06-28 22:00:00,427.88,427.7,428.56,427.13,35970515
2021-06-29 22:00:00,427.21,428.06,428.78,427.18,64827858
2021-06-30 22:00:00,428.87,430.43,430.6,428.8,53441027
2021-07-01 22:00:00,431.67,433.72,434.1,430.5218,57697668
2021-07-05 22:00:00,433.78,432.93,434.01,430.01,68710419
2021-07-06 22:00:00,433.66,434.46,434.76,431.51,63549456
2021-07-07 22:00:00,428.78,430.92,431.73,427.52,97595232
2021-07-08 22:00:00,432.53,435.52,435.84,430.714,76238584
2021-07-11 22:00:00,435.43,437.08,437.35,434.97,52889585
2021-07-12 22:00:00,436.24,435.59,437.84,435.31,52911312
2021-07-13 22:00:00,437.4,436.24,437.92,434.91,64130352
2021-07-14 22:00:00,434.81,434.75,435.53,432.72,55126358
2021-07-15 22:00:00,436.01,431.34,436.06,430.92,75874662
2021-07-18 22:00:00,426.19,424.97,431.4089,421.97,147987000
2021-07-19 22:00:00,425.68,431.06,432.42,424.83,99608174
2021-07-20 22:00:00,432.34,434.55,434.7,431.0111,64724389
2021-07-21 22:00:00,434.74,435.46,435.72,433.69,47878539
