Datetime,Open,Close,High,Low,Volume,Gain%
2014-04-30 22:00:00,20.49,23.74,24.43,18.68,152289500,15.86139580283065
2014-05-31 22:00:00,24.14,27.25,28.34,22.77,109994294,12.883181441590718
2014-06-30 22:00:00,27.87,27.32,29.96,24.02,89743823,-1.9734481521349145
2014-07-31 22:00:00,27.29,30.66,31.84,26.04,108822802,12.348845731037015
2014-08-31 22:00:00,30.74,24.56,31.09,24.04,114712844,-20.104098893949253
2014-09-30 22:00:00,24.26,22.63,25.534,21.34,100762948,-6.7188788128606864
2014-10-31 22:00:00,22.34,22.26,27.14,22.01,97285243,-0.3581020590868321
2014-11-30 22:00:00,22.27,21.88,24.69,20.52,186830875,-1.7512348450830741
2014-12-31 22:00:00,22.11,23.58,25.07,21.7,149676964,6.648575305291718
2015-01-31 22:00:00,23.73,26.41,27.23,23.09,119095771,11.2937210282343
2015-02-28 22:00:00,26.58,28.12,29.34,25.79,208941640,5.793829947328829
2015-03-31 22:00:00,28.14,32.3,35.49,27.75,189180249,14.78322672352522
2015-04-30 22:00:00,32.62,32.42,34.11,30.84,163670649,-0.6131207847945915
2015-05-31 22:00:00,32.62,32.84,36.74,30.46,205061016,0.6744328632740834
2015-06-30 22:00:00,32.82,31.77,34.3,26.87,205702506,-3.1992687385740424
2015-07-31 22:00:00,31.27,24.62,33.73,20.29,283999344,-21.26638951071314
2015-08-31 22:00:00,23.91,24.8,26.7,21.38,256115839,3.7222919280635742
2015-09-30 22:00:00,25.49,26.36,28.14,23.84,272935770,3.413103177716756
2015-10-31 22:00:00,26.24,29.42,29.92,25.2708,269189419,12.118902439024403
2015-11-30 22:00:00,29.12,31.005,32.22,28.77,160639164,6.473214285714278
2015-12-31 22:00:00,29.4,24.77,29.4,23.71,260131516,-15.748299319727888
2016-01-31 22:00:00,24.36,24.45,25.21,20.875,291286441,0.36945812807881717
2016-02-29 22:00:00,25.63,25.24,26.99,23.95,231637985,-1.5216543113538843
2016-03-31 22:00:00,25.0,24.3,28.75,23.29,240195027,-2.799999999999997
2016-04-30 22:00:00,24.26,23.35,24.39,20.76,426368118,-3.7510305028854085
2016-05-31 22:00:00,23.09,19.97,23.11,18.25,371053414,-13.512343005630148
2016-06-30 22:00:00,19.97,20.39,21.64,18.775,192368282,2.103154732098156
2016-07-31 22:00:00,20.43,24.15,25.04,19.96,287405687,18.20851688693098
2016-08-31 22:00:00,24.15,24.83,26.03,24.07,245815900,2.8157349896480324
2016-09-30 22:00:00,24.77,24.69,27.975,24.12,207413452,-0.32297133629389707
2016-10-31 22:00:00,24.64,25.61,26.44,22.115,240601206,3.936688311688307
2016-11-30 22:00:00,25.53,24.18,26.12,23.99,147548291,-5.287896592244424
2016-12-31 22:00:00,24.69,27.14,27.65,24.325,156912860,9.92304576751721
2017-01-31 22:00:00,27.33,29.31,29.9,26.62,108520722,7.24478594950604
2017-02-28 22:00:00,29.57,29.85,31.21,28.62,161911823,0.9469056476158307
2017-03-31 22:00:00,30.17,33.81,34.24,29.97,126840222,12.064965197215779
2017-04-30 22:00:00,33.88,38.77,40.71,33.25,263839069,14.433293978748523
2017-05-31 22:00:00,38.94,37.96,42.92,35.51,300468861,-2.516692347200814
2017-06-30 22:00:00,38.57,43.91,45.59,37.25,171579858,13.844957220637792
2017-07-31 22:00:00,44.56,40.65,47.73,38.07,332917232,-8.77468581687613
2017-08-31 22:00:00,40.67,36.94,44.67,36.56,265871628,-9.171379395131556
2017-09-30 22:00:00,37.14,36.26,39.51,34.53,352366443,-2.3694130317716815
2017-10-31 22:00:00,36.74,36.19,41.51,35.84,368582651,-1.4970059880239635
2017-11-30 22:00:00,35.76,40.16,42.22,34.55,291184412,12.304250559284114
2017-12-31 22:00:00,40.88,47.97,49.42,40.64,294671336,17.34344422700586
2018-01-31 22:00:00,45.63,45.89,47.99,39.67,258084225,0.5698005698005654
2018-02-28 22:00:00,45.84,39.23,46.39,37.8601,333693416,-14.41972076788832
2018-03-31 22:00:00,38.83,35.25,40.04,33.62,231889865,-9.219675508627347
2018-04-30 22:00:00,35.04,33.92,37.65,33.5,271057638,-3.1963470319634633
2018-05-31 22:00:00,34.31,37.69,43.97,34.28,371812265,9.851355290002902
