Datetime,Open,Close,High,Low,Volume,Gain%
2009-09-30 22:00:00,27.0,27.43,29.25,26.1,109736849,1.5925925925925917
2009-10-31 22:00:00,27.38,26.91,30.0,26.6,16550258,-1.7165814463111722
2009-11-30 22:00:00,26.91,30.28,31.18,26.91,20080543,12.52322556670383
2009-12-31 22:00:00,30.41,28.12,30.87,27.685,10913592,-7.53041762578099
2010-01-31 22:00:00,28.21,28.3,28.59,26.65,9653176,0.31903580290677014
2010-02-28 22:00:00,28.46,28.2,29.35,27.05,10775883,-0.9135628952916428
2010-03-31 22:00:00,28.25,28.02,28.73,27.52,8904709,-0.8141592920353997
2010-04-30 22:00:00,27.9,30.25,31.75,27.4635,23610061,8.422939068100364
2010-05-31 22:00:00,30.33,29.9,31.11,28.82,13035489,-1.4177382129904377
2010-06-30 22:00:00,29.95,29.69,30.72,28.41,8524611,-0.868113522537556
2010-07-31 22:00:00,30.01,27.82,30.3,27.4,8929793,-7.297567477507501
2010-08-31 22:00:00,27.83,28.01,28.75,27.04,19979210,0.6467840459935439
2010-09-30 22:00:00,27.74,29.81,30.0,27.13,15730091,7.462148521989907
2010-10-31 22:00:00,29.8,30.27,31.1,29.14,16709585,1.5771812080536876
2010-11-30 22:00:00,30.45,34.08,34.86,30.31,12901061,11.92118226600985
2010-12-31 22:00:00,34.13,33.83,35.36,33.11,10766318,-0.8789920890712108
2011-01-31 22:00:00,34.05,32.37,34.42,32.21,12709129,-4.933920704845814
2011-02-28 22:00:00,32.11,32.76,32.86,30.76,24948897,2.024291497975704
2011-03-31 22:00:00,32.62,32.9,33.7,32.24,12572416,0.8583690987124498
2011-04-30 22:00:00,32.91,34.05,35.0,32.66,16557949,3.463992707383776
2011-05-31 22:00:00,34.07,34.62,34.93,33.35,21418763,1.6143234517170448
2011-06-30 22:00:00,34.68,33.3,35.42,32.8,11822528,-3.979238754325267
2011-07-31 22:00:00,33.55,34.84,35.1,30.88,28532132,3.8450074515648476
2011-08-31 22:00:00,34.99,34.77,35.27,32.54,13007295,-0.6287510717347781
2011-09-30 22:00:00,34.58,35.15,35.58,32.66,14597691,1.6483516483516492
2011-10-31 22:00:00,35.01,39.28,39.32,33.66,21598361,12.196515281348196
2011-11-30 22:00:00,39.03,40.13,40.21,37.34,20171697,2.818344862925958
2011-12-31 22:00:00,40.51,40.06,41.01,38.44,12790690,-1.1108368304122334
2012-01-31 22:00:00,40.31,43.5,44.58,39.385,14816631,7.913669064748195
2012-02-29 22:00:00,43.56,46.97,47.53,42.38,19556488,7.828282828282821
2012-03-31 22:00:00,46.76,48.95,49.66,46.025,14110013,4.683490162532089
2012-04-30 22:00:00,49.15,47.9,49.43,47.135,16947428,-2.5432349949135302
2012-05-31 22:00:00,47.55,49.26,49.34,45.85,18264632,3.596214511041011
2012-06-30 22:00:00,49.03,50.25,51.0,48.33,13133518,2.488272486232916
2012-07-31 22:00:00,48.33,48.52,50.0,46.0,18632279,0.39313056072833613
2012-08-31 22:00:00,48.42,47.61,49.72,46.25,12002970,-1.6728624535316032
2012-09-30 22:00:00,47.93,51.12,52.13,45.04,14854324,6.6555393281869355
2012-10-31 22:00:00,51.0,49.84,51.71,47.37,15948569,-2.274509803921562
2012-11-30 22:00:00,49.79,50.97,51.37,48.25,21716948,2.369953805985137
2012-12-31 22:00:00,51.66,55.16,55.77,51.17,16644666,6.775067750677508
2013-01-31 22:00:00,55.66,58.47,60.29,53.5,12670289,5.048508803449519
2013-02-28 22:00:00,58.18,61.62,61.85,57.97,14483720,5.912684771399102
2013-03-31 22:00:00,61.1,61.29,61.88,58.42,15043913,0.3109656301145626
2013-04-30 22:00:00,56.4,58.82,62.39,54.68,19230746,4.290780141843975
2013-05-31 22:00:00,58.82,59.7,60.42,57.19,12107875,1.4960897653859275
2013-06-30 22:00:00,59.95,64.36,65.59,59.95,13392777,7.356130108423681
