Datetime,Open,Close,High,Low,Volume,Gain%
2002-06-30 22:00:00,49.32,43.88,50.37,40.15,36587700,-11.030008110300077
2002-07-31 22:00:00,43.82,44.01,46.85,40.15,30144000,0.4335919671382878
2002-08-31 22:00:00,43.58,41.92,44.97,40.2,27373000,-3.80908673703533
2002-09-30 22:00:00,42.0,47.27,50.54,39.15,38236300,12.547619047619055
2002-10-31 22:00:00,47.05,50.47,51.75,45.9,26746400,7.268862911795966
2002-11-30 22:00:00,50.8,45.75,51.67,44.55,27137000,-9.94094488188976
2002-12-31 22:00:00,45.81,41.3,48.51,40.36,28204700,-9.845012006112213
2003-01-31 22:00:00,41.2,33.57,42.54,30.6,39523900,-18.51941747572816
2003-02-28 22:00:00,33.8,32.9,36.2,30.73,27958500,-2.66272189349112
2003-03-31 22:00:00,33.08,35.85,36.74,32.64,22898800,8.373639661426854
2003-04-30 22:00:00,35.35,37.02,37.85,34.59,22033900,4.724186704384729
2003-05-31 22:00:00,37.03,35.43,39.65,35.19,22634400,-4.32082095598164
2003-06-30 22:00:00,35.13,41.21,41.87,34.55,30706500,17.307144890407052
2003-07-31 22:00:00,41.0,39.92,41.07,37.63,20783300,-2.6341463414634103
2003-08-31 22:00:00,39.46,37.01,41.69,36.8,21419400,-6.208819057273195
2003-09-30 22:00:00,37.0,42.82,43.96,36.94,21964300,15.72972972972973
2003-10-31 22:00:00,42.98,46.69,47.59,42.52,17544600,8.631921824104237
2003-11-30 22:00:00,46.85,50.1,50.68,45.4,25582200,6.937033084311632
2003-12-31 22:00:00,50.23,45.03,50.35,43.5,28563700,-10.352379056340824
2004-01-31 22:00:00,44.85,42.71,46.84,42.21,18650600,-4.771460423634338
2004-02-29 22:00:00,42.67,43.49,44.95,40.2,29835700,1.9217248652449035
2004-03-31 22:00:00,43.19,45.11,47.92,43.15,18353300,4.445473489233623
2004-04-30 22:00:00,45.02,45.33,45.93,41.96,18993800,0.6885828520657378
2004-05-31 22:00:00,44.98,47.67,48.06,44.44,16149400,5.980435749221887
2004-06-30 22:00:00,47.55,41.96,47.75,41.69,20130500,-11.75604626708727
2004-07-31 22:00:00,42.0,41.01,43.39,39.51,17449100,-2.3571428571428616
2004-08-31 22:00:00,40.61,42.04,44.58,40.38,19265200,3.521300172371337
2004-09-30 22:00:00,41.97,43.14,44.45,40.58,18238900,2.7877055039313836
2004-10-31 22:00:00,43.09,44.72,45.91,42.61,16085500,3.7827802274309477
2004-11-30 22:00:00,44.81,43.86,46.87,42.82,20317700,-2.120062486052227
2004-12-31 22:00:00,43.64,43.5,44.3,41.77,23496400,-0.3208065994500471
2005-01-31 22:00:00,43.27,43.78,45.5,42.58,21518900,1.178645712965098
2005-02-28 22:00:00,43.78,41.31,44.55,40.48,23364000,-5.641845591594333
2005-03-31 22:00:00,41.86,38.59,41.89,37.89,24398300,-7.811753463927368
2005-04-30 22:00:00,38.89,40.37,41.49,38.48,17935400,3.8056055541270166
2005-05-31 22:00:00,40.01,38.6,40.98,37.51,20417600,-3.5241189702574274
2005-06-30 22:00:00,38.47,44.33,45.49,38.18,22573500,15.232648817260202
2005-07-31 22:00:00,44.3,41.25,44.9,40.64,14462700,-6.8848758465011235
2005-08-31 22:00:00,40.94,41.05,41.4,38.61,25580000,0.2686858817782107
2005-09-30 22:00:00,40.87,40.54,41.4,38.31,20425800,-0.8074382187423497
2005-10-31 22:00:00,40.28,44.72,45.17,40.28,18133200,11.022840119165833
2005-11-30 22:00:00,44.78,41.13,45.4,40.81,20919800,-8.150960250111654
2005-12-31 22:00:00,41.35,42.6,43.49,39.78,19462100,3.022974607013301
2006-01-31 22:00:00,42.2,41.09,42.89,39.8,15020700,-2.6303317535545006
2006-02-28 22:00:00,41.01,42.62,44.3,40.61,19317700,3.9258717386003403
2006-03-31 22:00:00,42.81,41.98,43.06,41.06,14429100,-1.938799345947221
2006-04-30 22:00:00,41.81,42.36,42.75,39.9,18093600,1.3154747668021936
2006-05-31 22:00:00,42.31,39.76,42.84,39.08,18546800,-6.026943984873562
2006-06-30 22:00:00,39.98,35.3,40.12,34.81,22895841,-11.705852926463232
2006-07-31 22:00:00,35.05,37.03,37.44,34.57,16136524,5.649072753209712
2006-08-31 22:00:00,37.25,40.83,41.25,37.0,18331848,9.610738255033551
2006-09-30 22:00:00,40.93,41.4,42.04,39.94,15487456,1.1483019789885143
2006-10-31 22:00:00,41.46,42.2,43.83,40.59,13566065,1.784852870236377
2006-11-30 22:00:00,42.2,39.71,43.24,38.48,17742436,-5.900473933649293
2006-12-31 22:00:00,39.67,41.15,42.05,39.67,17728165,3.730778926140652
2007-01-31 22:00:00,40.96,40.38,42.89,40.16,14711591,-1.4160156249999958
2007-02-28 22:00:00,39.76,36.1,40.66,35.85,37215245,-9.205231388329972
2007-03-31 22:00:00,36.24,37.47,38.26,35.58,24324244,3.3940397350993288
2007-04-30 22:00:00,37.61,38.36,38.78,36.65,21851857,1.994150491890455
2007-05-31 22:00:00,37.51,39.43,40.53,37.51,27691409,5.118635030658496
2007-06-30 22:00:00,39.67,36.56,41.04,36.56,27022939,-7.839677338038818
2007-07-31 22:00:00,36.54,36.65,38.82,34.7,25438011,0.30103995621236845
2007-08-31 22:00:00,36.69,37.1,37.68,35.54,15962604,1.1174707004633517
2007-09-30 22:00:00,37.27,36.59,38.41,35.0,29634781,-1.824523745639924
2007-10-31 22:00:00,36.49,31.99,36.75,31.78,25699965,-12.332145793368054
2007-11-30 22:00:00,31.79,33.62,35.61,31.14,28715953,5.7565272098144025
2007-12-31 22:00:00,33.49,32.82,33.6214,30.19,34187007,-2.0005971931920024
2008-01-31 22:00:00,33.05,28.78,33.89,28.7,28802961,-12.9198184568835
2008-02-29 22:00:00,28.79,28.54,29.7,27.41,32021928,-0.868357068426537
2008-03-31 22:00:00,28.98,29.61,30.4,27.34,24478116,2.173913043478257
2008-04-30 22:00:00,29.58,29.52,31.73,28.44,20396436,-0.20283975659228778
2008-05-31 22:00:00,29.51,26.51,29.64,25.6375,28487978,-10.166045408336156
2008-06-30 22:00:00,26.4,28.44,29.47,25.15,37821638,7.727272727272738
2008-07-31 22:00:00,28.63,30.8,31.55,28.03,25123991,7.579462102689492
2008-08-31 22:00:00,31.59,28.71,33.73,28.0,37622699,-9.116809116809113
2008-09-30 22:00:00,28.26,23.7,28.67,19.67,48033925,-16.135881104033977
2008-10-31 22:00:00,23.5,24.02,25.23,19.51,36968532,2.212765957446807
2008-11-30 22:00:00,21.88,23.23,26.31,21.0,45186212,6.170018281535656
2008-12-31 22:00:00,23.23,22.75,24.5,22.39,35277031,-2.066293585880329
2009-01-31 22:00:00,21.52,20.29,24.14,19.8,38165224,-5.71561338289963
2009-02-28 22:00:00,20.25,24.72,25.88,18.09,43632458,22.07407407407407
2009-03-31 22:00:00,24.5,25.66,27.045,23.95,34341293,4.734693877551021
2009-04-30 22:00:00,26.51,23.29,26.51,22.13,26454397,-12.146359864202196
2009-05-31 22:00:00,23.18,22.84,23.82,22.04,34896396,-1.4667817083692831
2009-06-30 22:00:00,23.09,25.18,25.36,21.3,36719399,9.051537462104807
2009-07-31 22:00:00,25.09,27.44,28.3,24.91,26338082,9.366281387006781
2009-08-31 22:00:00,26.99,30.31,30.85,26.51,30529841,12.300852167469435
2009-09-30 22:00:00,30.3,27.69,30.43,27.53,29467049,-8.613861386138613
2009-10-31 22:00:00,27.66,28.09,29.48,27.4,18885711,1.554591467823571
2009-11-30 22:00:00,28.26,26.07,30.0,26.0,27829547,-7.749469214437371
2009-12-31 22:00:00,26.23,25.11,26.93,24.81,25865348,-4.269919939001148
2010-01-31 22:00:00,25.2,24.79,25.49,23.1,25333657,-1.6269841269841274
2010-02-28 22:00:00,24.85,28.1,28.67,24.72,29013656,13.078470824949697
